kategori,kode,nama,stok_awal,masuk,keluar,stok_akhir
KABEL,K-K1CDC-FC,"KABEL 1C DROPCORE FALCOM",13,30,42,1
KABEL,K-K1CDC-JFO,"KABEL 1C DROPCORE JFO",15,163,178,0
KABEL,K-K1CDC-NTCBL,"KABEL 1C DROPCORE NETCBLE",0,22,22,0
KABEL,K-K1CDC-GLBL,"KABEL 1C DROPCORE GLOBAL",0,31,24,7
KABEL,K-K2CDC,"KABEL 2C DROPCORE",0,6,6,0
KABEL,K-K2CFG8JFO,"KABEL 2C FIG 8 1KM JFO",0,6,6,0
KABEL,K-K2CFG8,"KABEL 2C FIG 8 1KM FALCOM",0,70,69,1
KABEL,K-K2CFG8PTYPE,"KABEL 2C FIG 8 1KM PE TYPE",0,3,2,1
KABEL,K-K4CFG8JFO,"KABEL 4C FIG 8 1KM JFO",0,3,3,0
KABEL,K-K4CFG8,"KABEL 4C FIG 8 2KM FALCOM",6,28,31,3
KABEL,K-K4CFG8PTYPE,"KABEL 4C FIG 8 1KM PE TYPE",0,3,1,2
KABEL,K-K6CFG8JFO,"KABEL 6C FIG 8 1KM JFO",0,4,4,0
KABEL,K-K6CFG8,"KABEL 6C FIG 8 2KM FALCOM",4,10,14,0
KABEL,K-K6CFG8PTYPE,"KABEL 6C FIG 8 1KM PE TYPE",0,3,2,1
KABEL,K-K12CFG8,"KABEL 12C FIG8 1KM JFO",1,10,9,2
KABEL,K-KINDOR,"KABEL INDOOR TV",8,30,36,2
KABEL,K-KRG695P,"KABEL RG 695 PREMIUM MESSENGER",0,16,13,3
KABEL,K-12MINIADSS,"KABEL 12 CORE MINI ADSS",0,2,2,0
AKSESORIS TV,K-SI204,"SPLITTER INDOOR 2 Way",1,330,273,58
AKSESORIS TV,K-SI306,"SPLITTER INDOOR 3 Way",0,0,0,0
AKSESORIS TV,K-SI208,"SPLITTER INDOOR 4 Way",6,216,184,38
AKSESORIS TV,K-SO210,"SPLITTER OUTDOOR 2 Way",0,9,8,1
AKSESORIS TV,K-TI208,"TAB INDOOR 2 Way 8 dB",0,4,6,-2
AKSESORIS TV,K-TI410,"TAB INDOOR 4 Way 10 dB",30,214,185,59
AKSESORIS TV,K-TI204,"TAB INDOOR 4 Way 14 dB",0,0,0,0
AKSESORIS TV,K-TI306,"TAB INDOOR 4 Way 16 dB",0,0,0,0
AKSESORIS TV,K-T0410,"TAB OUTDOOR 4 Way 10 dB",0,55,51,4
AKSESORIS TV,K-NOPA15501W,"NODE PASSIVE 1550-1W",1,5,1,5
AKSESORIS TV,K-NOPA1202W,"NODE PASSIVE 1202W-2W",7,1,4,4
AKSESORIS TV,K-NOPA1203W,"NODE PASSIVE 1203W-3W",2,0,1,1
AKSESORIS TV,K-CORG6,"CONNECTOR RG6 DRAT",109,1930,1900,139
AKSESORIS TV,K-COTV,"CONNECTOR TV (JEK TV)",94,1231,927,398
AKSESORIS TV,K-AS3750M,"AMPLIFIER S300 750 Mhz (FSA S300)",0,21,19,2
AKSESORIS TV,K-AMPH502,"AMPLIFIER H502",0,5,4,1
AKSESORIS TV,K-NODETV2WY,"NODE TV 2 WAY",0,10,8,2
AKSESORIS TV,K-NODETV4WY,"NODE TV 4 WAY",0,10,9,1
KABEL TIES,K-KBLTIS2.5x100,"KABEL TIS 2.5x100",0,10,10,0
KABEL TIES,K-KBLTIS2.5x150,"KABEL TIS 2.5x150",0,1,1,0
KABEL TIES,K-KBLTIS3x100,"KABEL TIS 3x100",9,127,133,3
KABEL TIES,K-KBLTIS3x150,"KABEL TIS 3x150",3,24,27,0
KABEL TIES,K-KBLTIS4x200,"KABEL TIS 4x200",5,27,32,0
KABEL TIES,K-KBLTIS3.6x250,"KABEL TIS 3.6x250",0,3,3,0
KABEL TIES,K-KBLTIS5x250,"KABEL TIS 5x250",1,20,21,0
KABEL TIES,K-KBLTIS5x300,"KABEL TIS 5x300",2,8,10,0
RATIO,K-RATIU0199,"RATIO 01:99",7,12,15,4
RATIO,K-RATIU0298,"RATIO 02:98",5,13,17,1
RATIO,K-RATIU0397,"RATIO 03:97",0,2,2,0
RATIO,K-RATIU0496,"RATIO 04:96",0,3,1,2
RATIO,K-RATIU0595,"RATIO 05:95",8,24,32,0
RATIO,K-RATIU0793,"RATIO 07:93",0,4,3,1
RATIO,K-RATIU1090,"RATIO 10:90 - Ratio 09:91",8,43,49,2
RATIO,K-RATIU1585,"RATIO 15:85",0,6,6,0
RATIO,K-RATIU2080,"RATIO 20:80",5,7,12,0
RATIO,K-RATIU2278,"RATIO 22:78 / 25:75",0,9,9,0
RATIO,K-RATIU2872,"RATIO 28:72",0,11,11,0
RATIO,K-RATIU3070,"RATIO 30:70",2,24,26,0
RATIO,K-RATIU3565,"RATIO 35:65",0,4,2,2
RATIO,K-RATIU4060,"RATIO 40:60",0,54,42,12
RATIO,K-RATIU4555,"RATIO 45:55",0,29,29,0
RATIO,K-RATIU5050,"RATIO 50:50",17,195,212,0
AKSESORIS WIFI,K-BODP8C,"BOX ODP 8C KOSONG (CASSETE)",1,226,219,8
AKSESORIS WIFI,K-BODP8NONC,"BOX ODP 8C KOSONG (NON CASSETE)",0,30,30,0
AKSESORIS WIFI,K-BODP16C,"BOX ODP 16C KOSONG (CASSETE)",16,67,71,12
AKSESORIS WIFI,K-PLC1x2,"PLC CASSETE 1*2",0,1,1,0
AKSESORIS WIFI,K-PLC1x4,"PLC CASSETE 1*4",4,137,115,26
AKSESORIS WIFI,K-PLC1X8,"PLC CASSETE 1*8",10,232,240,2
AKSESORIS WIFI,K-PLCNB1X8,"PLC NON BOX 1*8",0,2,4,-2
AKSESORIS WIFI,K-PLC1x16,"PLC CASSETE 1x16",16,54,58,12
AKSESORIS WIFI,K-BREL,"BAREL",31,164,142,53
AKSESORIS WIFI,K-WDM,"WDM",0,1,0,1
ROUTER,K-RTRBR,"ROUTER BARU XPON CDATA 2.4G",45,2001,1996,50
ROUTER,K-RTRBREP,"ROUTER BARU XPON CDATA 5G",8,214,215,7
ROUTER,K-RTRSK,"ROUTER SEKEN GPON",12,105,117,0
ROUTER,K-RTRSKEP,"ROUTER SEKEN EPON",2,15,17,0
ROUTER,K-RTRSK5G,"ROUTER SEKEN GPON 5G",0,0,0,0
ROUTER,K-TPLINK,"ROUTER SEKEN TPLINK",0,10,0,10
AKSESORIS TAMBAHAN,K-SOLASI,"SOLASI",0,1032,1027,5
AKSESORIS TAMBAHAN,K-KWT2M,"KAWAT 2,5 MM",5,68,67,6
AKSESORIS TAMBAHAN,K-KWT3M,"KAWAT 3 MM",0,71,68,3
AKSESORIS TAMBAHAN,K-RST2C,"ROSET 2 CORE",28,606,542,92
AKSESORIS TAMBAHAN,K-PKLEM,"PAKU KLEM",10,279,261,28
AKSESORIS TAMBAHAN,K-TONGKATAJAIB,"KAWAT TONGKAT AJAIB",3,5,0,8
AKSESORIS TAMBAHAN,K-PATCHCOREOTB,"PATCHCOREOTB",0,10,7,3
AKSESORIS TAMBAHAN,K-JB48CORE,"JB 48 CORE",0,19,15,4
